6:20 a.m.;Linea 22;;;;;;;;;
6:25 a.m.;Linea 21;Linea 08;;;;;;;;
6:30 a.m.;Linea 01;Linea 19;Linea 13;Linea 02;;;;;;
6:35 a.m.;Linea 20;;;;;;;;;
6:55 a.m.;Linea 10;Linea 15;;;;;;;;
7:00 a.m.;Linea 03;;;;;;;;;
7:05 a.m.;Linea 20;;;;;;;;;
7:25 a.m.;Linea 15;Linea 23;inea 07;Linea 18;;;;;;
7:30 a.m.;Linea 19;Linea 13;;;;;;;;
8:25 a.m.;Linea 10;;;;;;;;;
8:30 a.m.;Linea 03;Linea 19;;;;;;;;
9:30 a.m.;Linea 33;Linea 32;Linea 31;;;;;;;
9:35 a.m.;Linea 14;;;;;;;;;
10:30 a.m.;Linea 33;Linea 32;Linea 31;;;;;;;
11:00 a.m.;Linea 32;;;;;;;;;
11:30 a.m.;Linea 33;Linea 32;Linea 31;;;;;;;
12:00 p.m.;Linea 33;Linea 32;Linea 31;;;;;;;
12:30 p.m.;Linea 83;Linea 70;Linea 98;Linea 31;Linea 76;Linea 45;;;;
1:00 p.m.;Linea 95;Linea 70;Linea 65;Linea 98;Linea 38;Linea 80;Linea 45;;;
1:30 p.m.;Linea 03;Linea 12;Linea 20;;;;;;;
2:25 p.m.;Linea 10;Linea 18;Linea 16;;;;;;;
2:30 p.m.;Linea 03;Linea17;Linea 19;Linea 13;Linea 25;Linea 11;Linea 14;;;
3:30 p.m.;Linea 33;;;;;;;;;
3:35 p.m.;Linea 12;;;;;;;;;
4:30 p.m.;Linea 33;Linea 32;Linea 31;;;;;;;
5:00 p.m.;Linea 32;;;;;;;;;
5:05 p.m.;Linea 14;;;;;;;;;
6:00 p.m.;Linea 85;Linea 83;Linea 33;Linea 88;Linea 95;Linea 51;Linea 78;Linea 53;Linea 70;Linea 31
6:30 p.m.;Linea 78;;;;;;;;;
6:35 p.m.;Linea 14;;;;;;;;;
7:00 p.m.;Linea 69;Linea 84;Linea 66;Linea 89;Linea 93;;;;;
8:00 p.m.;Linea 79;Linea 78;Linea 89;Linea 93;;;;;;
8:10 p.m.;Linea 69;Linea 66;;;;;;;;
9:00 p.m.;Linea 54;Linea 55;Linea 85;Linea 81;Linea 83;Linea 95;Linea 78;Linea 70;Linea 66;Linea 93
